Unnamed: 0,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도,Okt_tokens,KNU_Score,KNU_label
0,항상 맛있게 먹고 있습니다.,5,2024.03.26.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['항상', '맛있게', '먹고', '있습니다', '.']",2,긍정
1,너무 맛나요 ~ 짜지도 않고 적당해요~~ 다음에 또 구매할게용~,5,2024.03.25.,구매자거주인원 2인싱글유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,꽤 남았어요,꼼꼼해요,맛있어요,"['너무', '맛', '나', '요', '~', '짜지도', '않고', '적당해요', '~~', '다음', '에', '또', '구매', '할게', '용', '~']",0,중립
2,지인추천으로 사먹고 맛있어서 두통재주문했어요. 집에서 고기먹을때 없으면 서운한 반찬이 되었습니다 ㅎㅎㅎ 이거있으면 고깃집 안부러워요 짜지도않고 아삭아삭한 식감이 중동적입니다. 다먹으면 또 시킬게요,5,2024.03.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['지인', '추천', '으로', '사먹고', '맛있어서', '두통', '재', '주문', '했어요', '.', '집', '에서', '고기', '먹을', '때', '없으면', '서운한', '반찬', '이', '되었습니다', 'ㅎㅎㅎ', '이거있으면', '고깃집', '안', '부러워요', '짜지도', '않고', '아삭아삭', '한', '식감', '이', '중동', '적', '입니다', '.', '다', '먹으면', '또', '시킬게요']",-4,부정
3,"흠..저희 장아찌 좋아해요..근데 궁채에 고구마에서 나오는 길다린 씽?이라고해야하나 뻣빳한 줄기가 있네요.그게 먹는데 좀 불편했어요.그리고 무말랭이는 무가 바람들어간것 같고요,초석잠은 식감이 덜익은 감자 씹는기분이에요.담부턴 걍 궁채만 시킬까싶어요.그래도 짜지않고 맛나긴해요",4,2024.03.25.,구매자거주인원 5인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 5인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['흠', '..', '저희', '장아찌', '좋아해요', '..', '근데', '궁채', '에', '고구마', '에서', '나오는', '길', '다린', '씽', '?', '이', '라고', '해야하나', '뻣빳', '한', '줄기', '가', '있네요', '.', '그게', '먹는데', '좀', '불편했어요', '.', '그리고', '무', '말랭이', '는', '무가', '바람', '들어간것', '같고요', ',', '초석', '잠', '은', '식감', '이', '덜', '익은', '감자', '씹는', '기분', '이에요', '.', '담', '부턴', '걍', '궁채', '만', '시킬까', '싶어요', '.', '그래도', '짜지', '않고', '맛', '나긴', '해', '요']",-2,부정
4,아삭아삭 너무 짜지도 달지도 않고 맛있네요,5,2024.03.23.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['아삭아삭', '너무', '짜지도', '달지도', '않고', '맛있네요']",0,중립
5,"맛있어요...
도착하자마자 계란후라이하나해서 밥에 먹었어요..
다른반찬 없어도 너무 맛있네요..
포장도 새지않게 아주아주 잘되었어요..
다른것도 시켜야겠어요..
다른 반찬도 있으면 너무 좋겠어요~~^^",5,2024.03.23.,구매자거주인원 4인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요,"['맛있어요', '...', '\n', '도착', '하', '자마자', '계란후라이', '하', '나', '해서', '밥', '에', '먹었어요', '..', '\n', '다른', '반찬', '없어도', '너무', '맛있네요', '..', '\n', '포장', '도', '새지', '않게', '아주아주', '잘', '되었어요', '..', '\n', '다른', '것', '도', '시켜야겠어요', '..', '\n', '다른', '반찬', '도', '있으면', '너무', '좋겠어요', '~~^^']",1,긍정
6,정말 맛있게 먹고있어요~~^^,5,2024.03.23.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['정말', '맛있게', '먹고있어요', '~~^^']",2,긍정
7,너무 맛있어서 계속 주문하는 곳,5,2024.03.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있어서', '계속', '주문', '하는', '곳']",0,중립
8,저번에 맛있어서 요번에 두통,5,2024.03.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['저번', '에', '맛있어서', '요', '번', '에', '두통']",-2,부정
9,맛있어요 근데좀달아요,3,2024.03.22.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['맛있어요', '근데', '좀', '달아요']",0,중립
10,식감도 아주 아삭아삭하고 달달 짭잘해서 딱 좋아요. 밑반찬으로 적당합니드,5,2024.03.21.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요,"['식', '감도', '아주', '아삭아삭', '하고', '달달', '짭잘해서', '딱', '좋아요', '.', '밑반찬', '으로', '적당합', '니드']",0,중립
11,친정부모님이 잘드셔서서 계속주문하게되네요,5,2024.03.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['친정', '부모님', '이', '잘', '드셔', '서서', '계속', '주문', '하', '게', '되네요']",1,긍정
12,제 입맛엔 밍밍 했어요 ㅜ,5,2024.03.21.,구매자거주인원 2인신혼/부부맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 2인신혼/부부,평범해요,아주 넉넉해요,꼼꼼해요,"['제', '입맛', '엔', '밍밍', '했어요', 'ㅜ']",-1,부정
13,고기랑 같이 먹기 딱좋아요,5,2024.03.20.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['고기랑', '같이', '먹기', '딱좋아요']",0,중립
14,제 입맛엔 달고 짜고 하지만 오독한 식감은 좋네요,4,2024.03.20.,맛 만족도평범해요유통기한임박상품이에요포장적당해요,,평범해요,임박상품이에요,적당해요,"['제', '입맛', '엔', '달', '고', '짜고', '하지만', '오', '독', '한', '식', '감은', '좋네요']",-2,부정
15,"맛있어요 주문 다음날 배송되구 아삭하니 맛나요
근데 좀 많이 시큼헤서 신거 못드시는분들은 조금
많이 시다고 할거같아요 ㅎㅎ 제입맛에는 조금 시어요
근데 맛나요 ㅎㅎㅎ",5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '주문', '다음', '날', '배송', '되구', '아', '삭', '하', '니', '맛', '나', '요', '\n', '근데', '좀', '많이', '시큼헤', '서', '신거', '못', '드시는', '분', '들', '은', '조금', '\n', '많이', '시', '다', '고', '할거', '같아요', 'ㅎㅎ', '제', '입맛', '에는', '조금', '시어', '요', '\n', '근데', '맛', '나', '요', 'ㅎㅎㅎ']",1,긍정
16,저도 저지만 특히 초등학생인 딸이 엄청좋아해요 이번이 두번째구매에2개 했어요^^다먹으면 또구매각입니다^^,5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['저', '도', '저지', '만', '특히', '초등학생', '인', '딸', '이', '엄청', '좋아해요', '이번', '이', '두번째', '구매', '에', '2', '개', '했어요', '^^', '다', '먹으면', '또', '구', '매각', '입니다', '^^']",2,긍정
17,맛있어요.. 조금 저렴하면 좋겠습니다.,5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '..', '조금', '저렴하면', '좋겠습니다', '.']",0,중립
